ABBREVIATION,COMPOUND,DENSITY
,,g*cm^{-3}
XPS,foamed (extruded) polystyrene,0.0365
EPS,foamed (expanded) polystyrene,0.379
PP,polypropilene,0.84
PE,polyethylene,0.94
LDPE,low-density polyethylene,0.915
HDPE,high-density polyethylene,0.955
ABS,acrylonitrile-butadiene-styrene,1.035
PA,polymide (nylon),1.075
SAN,styrene-acrylonitrile,1.05
PS,polystyrene,1.07
C,cellulosics,1.165
E,epoxy,1.295
PA6,polycaprolactam (nylon 6),1.15
AC,Acrylic,1.16
PVC,polyvinylchloride,1.37
PMA,polymethylacrylate,1.185
PC,polycarbonate,1.2
PUR,polyurethane,1.225
PMMA,polymethyl metacrylate lucit,1.24
PF,phenol formaldhyde resin (Phenolic resin),1.28
A,alkyd,1.67
P,polyester,1.655
CA,cellulose acetate,1.32
PBT,thermoplastic polyester polybutylene terphthalate,1.34
PET,polyethylene terphthalate,1.37
POM,polyoxymethylene (polyacetal),1.51
R,rayon (viscose),1.51
PTFE,polytethrfluoroethylene (teflon),2.2
PVDF,fluorocarbon (polyvinylidene fluoride),2.2
